Label,Address,Register Type,Data Type,Unit
Voltage_L1,100,Holding,w,V
Voltage_L2,101,Holding,w,V
Voltage_L3,102,Holding,w,V
Current_L1,103,Holding,w,A
Current_L2,104,Holding,w,A
Current_L3,105,Holding,w,A
Frequency,106,Holding,w,Hz
Power_Factor_L1,107,Holding,w,
Power_Factor_L2,108,Holding,w,
Power_Factor_L3,109,Holding,w,
Active_Power_L1,110,Holding,w,W
Active_Power_L2,111,Holding,w,W
Active_Power_L3,112,Holding,w,W
Reactive_Power_L1,113,Holding,w,VAR
Reactive_Power_L2,114,Holding,w,VAR
Reactive_Power_L3,115,Holding,w,VAR
Apparent_Power_L1,116,Holding,w,VA
Apparent_Power_L2,117,Holding,w,VA
Apparent_Power_L3,118,Holding,w,VA
Total_Active_Power,119,Holding,w,W
Total_Reactive_Power,120,Holding,w,VAR
Total_Apparent_Power,121,Holding,w,VA
Total_Power_Factor,122,Holding,w,
Energy_Import,123,Holding,w,kWh
Energy_Export,124,Holding,w,kWh
Reactive_Energy_Import,125,Holding,w,kVARh
Reactive_Energy_Export,126,Holding,w,kVARh
Voltage_L1_L2,127,Holding,w,V
Voltage_L2_L3,128,Holding,w,V
Voltage_L1_L3,129,Holding,w,V
Temperature_Sensor_1,130,Holding,w,C
Temperature_Sensor_2,131,Holding,w,C
Temperature_Sensor_3,132,Holding,w,C
Temperature_Sensor_4,133,Holding,w,C
Temperature_Sensor_5,134,Holding,w,C
Temperature_Sensor_6,135,Holding,w,C
Temperature_Sensor_7,136,Holding,w,C
Temperature_Sensor_8,137,Holding,w,C
Humidity_Sensor_1,138,Holding,w,%
Humidity_Sensor_2,139,Holding,w,%
Humidity_Sensor_3,140,Holding,w,%
Humidity_Sensor_4,141,Holding,w,%
Pressure_Sensor_1,142,Holding,w,Pa
Pressure_Sensor_2,143,Holding,w,Pa
Pressure_Sensor_3,144,Holding,w,Pa
Pressure_Sensor_4,145,Holding,w,Pa
Flow_Rate_1,146,Holding,w,L/m
Flow_Rate_2,147,Holding,w,L/m
Flow_Rate_3,148,Holding,w,L/m
Flow_Rate_4,149,Holding,w,L/m
Tank_Level_1,150,Holding,w,mm
Tank_Level_2,151,Holding,w,mm
Tank_Level_3,152,Holding,w,mm
Tank_Level_4,153,Holding,w,mm
Speed_Motor_1,154,Holding,w,RPM
Speed_Motor_2,155,Holding,w,RPM
Speed_Motor_3,156,Holding,w,RPM
Speed_Motor_4,157,Holding,w,RPM
Torque_Motor_1,158,Holding,w,Nm
Torque_Motor_2,159,Holding,w,Nm
Torque_Motor_3,160,Holding,w,Nm
Torque_Motor_4,161,Holding,w,Nm
Vibration_1,162,Holding,w,mm/s
Vibration_2,163,Holding,w,mm/s
Vibration_3,164,Holding,w,mm/s
Vibration_4,165,Holding,w,mm/s
Current_Motor_1,166,Holding,w,A
Current_Motor_2,167,Holding,w,A
Current_Motor_3,168,Holding,w,A
Current_Motor_4,169,Holding,w,A
Voltage_DC_Bus,170,Holding,w,V
Current_DC_Bus,171,Holding,w,A
Battery_Voltage,172,Holding,w,V
Battery_Current,173,Holding,w,A
Battery_SOC,174,Holding,w,%
Battery_SOH,175,Holding,w,%
Battery_Temperature,176,Holding,w,C
Solar_Voltage,177,Holding,w,V
Solar_Current,178,Holding,w,A
Solar_Power,179,Holding,w,W
Inverter_Temp,180,Holding,w,C
Inverter_Output_V,181,Holding,w,V
Inverter_Output_A,182,Holding,w,A
Inverter_Output_W,183,Holding,w,W
Grid_Voltage,184,Holding,w,V
Grid_Current,185,Holding,w,A
Grid_Frequency,186,Holding,w,Hz
Grid_Power,187,Holding,w,W
Load_Voltage,188,Holding,w,V
Load_Current,189,Holding,w,A
Load_Power,190,Holding,w,W
CO2_Sensor_1,191,Holding,w,ppm
CO2_Sensor_2,192,Holding,w,ppm
CO_Sensor_1,193,Holding,w,ppm
CO_Sensor_2,194,Holding,w,ppm
CH4_Sensor_1,195,Holding,w,ppm
CH4_Sensor_2,196,Holding,w,ppm
O2_Sensor_1,197,Holding,w,%
O2_Sensor_2,198,Holding,w,%
Dust_Sensor_1,199,Holding,w,ug/m3
Dust_Sensor_2,200,Holding,w,ug/m3
Noise_Level_1,201,Holding,w,dB
Noise_Level_2,202,Holding,w,dB
Lux_Sensor_1,203,Holding,w,lux
Lux_Sensor_2,204,Holding,w,lux
UV_Index_1,205,Holding,w,
Wind_Speed,206,Holding,w,m/s
Wind_Direction,207,Holding,w,deg
Rainfall,208,Holding,w,mm
Soil_Moisture_1,209,Holding,w,%
Soil_Moisture_2,210,Holding,w,%
Soil_Temperature_1,211,Holding,w,C
Soil_Temperature_2,212,Holding,w,C
Water_pH_1,213,Holding,w,pH
Water_pH_2,214,Holding,w,pH
Water_Conductivity_1,215,Holding,w,mS/cm
Water_Conductivity_2,216,Holding,w,mS/cm
Water_Turbidity_1,217,Holding,w,NTU
Water_Turbidity_2,218,Holding,w,NTU
Water_Temperature_1,219,Holding,w,C
Water_Temperature_2,220,Holding,w,C
PLC_Status,221,Holding,w,
PLC_Error_Code,222,Holding,w,
PLC_Cycle_Time,223,Holding,w,ms
PLC_IO_Status,224,Holding,w,
Conveyor_Speed_1,225,Holding,w,m/min
Conveyor_Speed_2,226,Holding,w,m/min
Conveyor_Speed_3,227,Holding,w,m/min
Conveyor_Load_1,228,Holding,w,kg
Conveyor_Load_2,229,Holding,w,kg
Pump_Speed_1,230,Holding,w,RPM
Pump_Speed_2,231,Holding,w,RPM
Pump_Speed_3,232,Holding,w,RPM
Pump_Speed_4,233,Holding,w,RPM
Pump_Pressure_1,234,Holding,w,bar
Pump_Pressure_2,235,Holding,w,bar
Pump_Pressure_3,236,Holding,w,bar
Pump_Pressure_4,237,Holding,w,bar
Pump_Flow_1,238,Holding,w,L/m
Pump_Flow_2,239,Holding,w,L/m
Valve_Position_1,240,Holding,w,%
Valve_Position_2,241,Holding,w,%
Valve_Position_3,242,Holding,w,%
Valve_Position_4,243,Holding,w,%
Valve_Position_5,244,Holding,w,%
Valve_Position_6,245,Holding,w,%
Actuator_Position_1,246,Holding,w,mm
Actuator_Position_2,247,Holding,w,mm
Actuator_Force_1,248,Holding,w,N
Actuator_Force_2,249,Holding,w,N
Compressor_Temp,250,Holding,w,C
Compressor_Pressure,251,Holding,w,bar
Compressor_Speed,252,Holding,w,RPM
Compressor_Current,253,Holding,w,A
Compressor_Power,254,Holding,w,kW
Air_Pressure_1,255,Holding,w,bar
Air_Pressure_2,256,Holding,w,bar
Air_Flow_1,257,Holding,w,m3/h
Air_Flow_2,258,Holding,w,m3/h
Dew_Point_1,259,Holding,w,C
Dew_Point_2,260,Holding,w,C
Chiller_Temp_In,261,Holding,w,C
Chiller_Temp_Out,262,Holding,w,C
Chiller_Flow,263,Holding,w,L/m
Chiller_Power,264,Holding,w,kW
Boiler_Temp,265,Holding,w,C
Boiler_Pressure,266,Holding,w,bar
Boiler_Flow,267,Holding,w,L/m
Boiler_Level,268,Holding,w,mm
Boiler_Power,269,Holding,w,kW
Heat_Exchanger_T_In,270,Holding,w,C
Heat_Exchanger_T_Out,271,Holding,w,C
Heat_Exchanger_Flow,272,Holding,w,L/m
Cooling_Tower_Temp,273,Holding,w,C
Cooling_Tower_Fan,274,Holding,w,RPM
AHU_Supply_Temp,275,Holding,w,C
AHU_Return_Temp,276,Holding,w,C
AHU_Humidity,277,Holding,w,%
AHU_Fan_Speed,278,Holding,w,RPM
AHU_Filter_DP,279,Holding,w,Pa
VAV_Flow_1,280,Holding,w,m3/h
VAV_Flow_2,281,Holding,w,m3/h
VAV_Flow_3,282,Holding,w,m3/h
VAV_Damper_1,283,Holding,w,%
VAV_Damper_2,284,Holding,w,%
VAV_Damper_3,285,Holding,w,%
FCU_Temp_1,286,Holding,w,C
FCU_Temp_2,287,Holding,w,C
FCU_Temp_3,288,Holding,w,C
FCU_Fan_1,289,Holding,w,RPM
FCU_Fan_2,290,Holding,w,RPM
FCU_Fan_3,291,Holding,w,RPM
Generator_Voltage,292,Holding,w,V
Generator_Current,293,Holding,w,A
Generator_Frequency,294,Holding,w,Hz
Generator_Power,295,Holding,w,kW
Generator_Speed,296,Holding,w,RPM
Generator_Temp,297,Holding,w,C
Generator_Fuel,298,Holding,w,L
UPS_Input_V,299,Holding,w,V
UPS_Output_V,300,Holding,w,V
UPS_Battery_V,301,Holding,w,V
UPS_Battery_A,302,Holding,w,A
UPS_Battery_SOC,303,Holding,w,%
UPS_Load,304,Holding,w,%
UPS_Temp,305,Holding,w,C
PDU_Total_Power,306,Holding,w,kW
PDU_Branch_1,307,Holding,w,A
PDU_Branch_2,308,Holding,w,A
PDU_Branch_3,309,Holding,w,A
PDU_Branch_4,310,Holding,w,A
PDU_Branch_5,311,Holding,w,A
PDU_Branch_6,312,Holding,w,A
Server_Room_Temp,313,Holding,w,C
